Main Numbers (1-60) Frequency
Number,Frequency
1,12
3,11
2,10
5,8
4,8
6,7
8,6
7,4
9,4

Cash Ball (1-4) Frequency
CB_Number,Frequency
3,6
1,4
2,3
4,1
