Date,Predicted_Main,Actual_Main,Main_Matches,Predicted_Special,Actual_Special,Special_Match
2025-04-09,"2,12,14,21,24","2,15,44,60,68",1,6,23,0
2025-04-12,"4,45,55,56,59","16,22,44,45,53",1,26,19,0
2025-04-12,"14,39,42,47,58","5,10,46,49,60",0,13,16,0
2025-04-14,"5,14,44,46,59","3,20,30,52,62",0,7,1,0
2025-04-16,"7,27,40,58,63","7,36,40,47,59",2,10,9,0
2025-04-16,"3,30,32,45,61","20,24,42,43,49",0,16,19,0
2025-04-19,"2,4,15,49,65","2,3,21,55,63",1,8,12,0
2025-04-21,"41,46,51,59,66","18,23,34,35,67",0,9,13,0
2025-04-23,"3,6,18,47,58","15,44,63,66,69",0,22,20,0
2025-04-23,"2,3,26,53,60","37,42,49,54,66",0,17,26,0
2025-04-26,"9,16,30,32,42","1,12,14,18,69",0,17,2,0
2025-04-28,"7,34,37,46,55","11,13,39,48,61",0,8,3,0
2025-04-28,"2,23,25,27,38","26,43,51,56,60",0,10,24,0
