Main Numbers (1-70) Frequency
Number,Frequency
3,11
7,10
5,8
8,7
2,7
4,6
6,6
1,5
9,5

Mega Ball (1-25) Frequency
MB_Number,Frequency
1,5
4,2
7,1
3,1
6,1
9,1
8,1
2,1
